name,fuel,p_min_mw,p_max_mw,varcost_usd_per_mwh,ramp_mw_per_hr,source,plant_code,generator_id,technology,heat_rate_mmbtu_per_mwh,co2_kg_per_mwh,capacity_source,varcost_source,constraint_source,emissions_source
Waiau W4,LSFO,19.08,47.7,134.48258,14.31,EIA-860/923 + HECO IGP; assumed operating constraints,766,W4,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W5,LSFO,20.76,51.9,134.48258,15.57,EIA-860/923 + HECO IGP; assumed operating constraints,766,W5,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W6,LSFO,20.72,51.8,134.48258,15.54,EIA-860/923 + HECO IGP; assumed operating constraints,766,W6,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W7,LSFO,31.12,77.8,134.48258,23.34,EIA-860/923 + HECO IGP; assumed operating constraints,766,W7,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W8,LSFO,31.12,77.8,134.48258,23.34,EIA-860/923 + HECO IGP; assumed operating constraints,766,W8,steam,11.400309,946.946646,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=40% and ramp=30% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S1,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S1,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S2,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S2,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S3,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S3,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S4,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S4,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S5,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S5,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Schofield Generating Station S6,ULSD_SGS,0.0,8.4,147.332413,8.4,EIA-860/923 + HECO IGP; assumed operating constraints,60328,S6,internal_combustion,9.109522,745.21916,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W10,Diesel,0.0,51.2,222.342737,51.2,EIA-860/923 + HECO IGP; assumed operating constraints,766,W10,combustion_turbine,15.249911,1247.543544,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Waiau W9,Diesel,0.0,51.2,222.342737,51.2,EIA-860/923 + HECO IGP; assumed operating constraints,766,W9,combustion_turbine,15.249911,1247.543544,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
Campbell Industrial Park CIP1,ULSD_CIP,0.0,113.0,237.972266,113.0,EIA-860/923 + HECO IGP; assumed operating constraints,56329,CIP1,combustion_turbine,15.773559,1290.381474,EIA860-2024 summer capacity,EIA923-2024 heat rate; HECO-IGP-2022 2024 fuel forecast; ATB VOM proxy,assumed: p_min=0% and ramp=100% of p_max per hour,HECO-IGP-2022 fuel CO2 factor × EIA923-2024 heat rate
